t,y,vy,ay,Unnamed: 4
27.983,,,,
28.0,-5.614,-0.133,0.05679,
28.017,,,,
28.033,,,,
28.05,,,,
28.067,,,,
28.083,,,,
28.1,,,,
28.117,,,,
28.133,,,,
28.15,,,,
28.167,,,,
28.183,,,,
28.2,,,,
28.217,,,,
28.233,,,,
28.25,,,,
28.267,,,,
28.283,,,,
28.3,,,,
28.317,,,,
28.333,,,,
28.35,,,,
28.367,,,,
28.383,,,,
28.4,,,,
28.417,,,,
28.433,,,,
28.45,,,,
28.467,,,,
28.483,,,,
28.5,,,,
28.517,,,,
28.533,,,,
28.55,,,,
28.567,,,,
28.583,,,,
28.6,,,,
28.617,,,,
28.633,,,,
28.65,,,,
28.667,-5.693,-0.103,0.04417,
28.683,,,,
28.7,,,,
28.717,,,,
28.733,,,,
28.75,,,,
28.767,,,,
28.783,,,,
28.8,,,,
28.817,,,,
28.833,,,,
28.85,,,,
28.867,,,,
28.883,,,,
28.9,,,,
28.917,,,,
28.933,,,,
28.95,,,,
28.967,,,,
28.983,,,,
29.0,,,,
29.017,,,,
29.033,,,,
29.05,,,,
29.067,,,,
29.083,,,,
29.1,,,,
29.117,,,,
29.133,,,,
29.15,,,,
29.167,,,,
29.183,,,,
29.2,,,,
29.217,,,,
29.233,,,,
29.25,,,,
29.267,,,,
29.283,,,,
29.3,,,,
29.317,,,,
29.333,-5.752,-0.07361,0.03155,
29.35,,,,
29.367,,,,
29.383,,,,
29.4,,,,
29.417,,,,
29.433,,,,
29.45,,,,
29.467,,,,
29.483,,,,
29.5,,,,
29.517,,,,
29.533,,,,
29.55,,,,
29.567,,,,
29.583,,,,
29.6,,,,
29.617,,,,
29.633,,,,
29.65,,,,
29.667,,,,
29.683,,,,
29.7,,,,
29.717,,,,
29.733,,,,
29.75,,,,
29.767,,,,
29.783,,,,
29.8,,,,
29.817,,,,
29.833,,,,
29.85,,,,
29.867,,,,
29.883,,,,
29.9,,,,
29.917,,,,
29.933,,,,
29.95,,,,
29.967,,,,
29.983,,,,
30.0,-5.791,-0.05889,0.01262,
30.017,,,,
30.033,,,,
30.05,,,,
30.067,,,,
30.083,,,,
30.1,,,,
30.117,,,,
30.133,,,,
30.15,,,,
30.167,,,,
30.183,,,,
30.2,,,,
30.217,,,,
30.233,,,,
30.25,,,,
30.267,,,,
30.283,,,,
30.3,,,,
30.317,,,,
30.333,,,,
30.35,,,,
30.367,,,,
30.383,,,,
30.4,,,,
30.417,,,,
30.433,,,,
30.45,,,,
30.467,,,,
30.483,,,,
30.5,,,,
30.517,,,,
30.533,,,,
30.55,,,,
30.567,,,,
30.583,,,,
30.6,,,,
30.617,,,,
30.633,,,,
30.65,,,,
30.667,-5.83,-0.05889,-0.01262,
30.683,,,,
30.7,,,,
30.717,,,,
30.733,,,,
30.75,,,,
30.767,,,,
30.783,,,,
30.8,,,,
30.817,,,,
30.833,,,,
30.85,,,,
30.867,,,,
30.883,,,,
30.9,,,,
30.917,,,,
30.933,,,,
30.95,,,,
30.967,,,,
30.983,,,,
31.0,,,,
31.017,,,,
31.033,,,,
31.05,,,,
31.067,,,,
31.083,,,,
31.1,,,,
31.117,,,,
31.133,,,,
31.15,,,,
31.167,,,,
31.183,,,,
31.2,,,,
31.217,,,,
31.233,,,,
31.25,,,,
31.267,,,,
31.283,,,,
31.3,,,,
31.317,,,,
31.333,-5.869,-0.07361,0.00631,
31.35,,,,
31.367,,,,
31.383,,,,
31.4,,,,
31.417,,,,
31.433,,,,
31.45,,,,
31.467,,,,
31.483,,,,
31.5,,,,
31.517,,,,
31.533,,,,
31.55,,,,
31.567,,,,
31.583,,,,
31.6,,,,
31.617,,,,
31.633,,,,
31.65,,,,
31.667,,,,
31.683,,,,
31.7,,,,
31.717,,,,
31.733,,,,
31.75,,,,
31.767,,,,
31.783,,,,
31.8,,,,
31.817,,,,
31.833,,,,
31.85,,,,
31.867,,,,
31.883,,,,
31.9,,,,
31.917,,,,
31.933,,,,
31.95,,,,
31.967,,,,
31.983,,,,
32.0,-5.928,-0.05889,0.01262,
32.017,,,,
32.033,,,,
32.05,,,,
32.067,,,,
32.083,,,,
32.1,,,,
32.117,,,,
32.133,,,,
32.15,,,,
32.167,,,,
32.183,,,,
32.2,,,,
32.217,,,,
32.233,,,,
32.25,,,,
32.267,,,,
32.283,,,,
32.3,,,,
32.317,,,,
32.333,,,,
32.35,,,,
32.367,,,,
32.383,,,,
32.4,,,,
32.417,,,,
32.433,,,,
32.45,,,,
32.467,,,,
32.483,,,,
32.5,,,,
32.517,,,,
32.533,,,,
32.55,,,,
32.567,,,,
32.583,,,,
32.6,,,,
32.617,,,,
32.633,,,,
32.65,,,,
32.667,-5.948,-0.04417,-0.00631,
32.683,,,,
32.7,,,,
32.717,,,,
32.733,,,,
32.75,,,,
32.767,,,,
32.783,,,,
32.8,,,,
32.817,,,,
32.833,,,,
32.85,,,,
32.867,,,,
32.883,,,,
32.9,,,,
32.917,,,,
32.933,,,,
32.95,,,,
32.967,,,,
32.983,,,,
33.0,,,,
33.017,,,,
33.033,,,,
33.05,,,,
33.067,,,,
33.083,,,,
33.1,,,,
33.117,,,,
33.133,,,,
33.15,,,,
33.167,,,,
33.183,,,,
33.2,,,,
33.217,,,,
33.233,,,,
33.25,,,,
33.267,,,,
33.283,,,,
33.3,,,,
33.317,,,,
33.333,-5.987,-0.07361,-0.00631,
33.35,,,,
33.367,,,,
33.383,,,,
33.4,,,,
33.417,,,,
33.433,,,,
33.45,,,,
33.467,,,,
33.483,,,,
33.5,,,,
33.517,,,,
33.533,,,,
33.55,,,,
33.567,,,,
33.583,,,,
33.6,,,,
33.617,,,,
33.633,,,,
33.65,,,,
33.667,,,,
33.683,,,,
33.7,,,,
33.717,,,,
33.733,,,,
33.75,,,,
33.767,,,,
33.783,,,,
33.8,,,,
33.817,,,,
33.833,,,,
33.85,,,,
33.867,,,,
33.883,,,,
33.9,,,,
33.917,,,,
33.933,,,,
33.95,,,,
33.967,,,,
33.983,,,,
34.0,-6.046,-0.05889,0.01262,
34.017,,,,
34.033,,,,
34.05,,,,
34.067,,,,
34.083,,,,
34.1,,,,
34.117,,,,
34.133,,,,
34.15,,,,
34.167,,,,
34.183,,,,
34.2,,,,
34.217,,,,
34.233,,,,
34.25,,,,
34.267,,,,
34.283,,,,
34.3,,,,
34.317,,,,
34.333,,,,
34.35,,,,
34.367,,,,
34.383,,,,
34.4,,,,
34.417,,,,
34.433,,,,
34.45,,,,
34.467,,,,
34.483,,,,
34.5,,,,
34.517,,,,
34.533,,,,
34.55,,,,
34.567,,,,
34.583,,,,
34.6,,,,
34.617,,,,
34.633,,,,
34.65,,,,
34.667,-6.066,-0.04417,0.01893,
34.683,,,,
34.7,,,,
34.717,,,,
34.733,,,,
34.75,,,,
34.767,,,,
34.783,,,,
34.8,,,,
34.817,,,,
34.833,,,,
34.85,,,,
34.867,,,,
34.883,,,,
34.9,,,,
34.917,,,,
34.933,,,,
34.95,,,,
34.967,,,,
34.983,,,,
35.0,,,,
35.017,,,,
35.033,,,,
35.05,,,,
35.067,,,,
35.083,,,,
35.1,,,,
35.117,,,,
35.133,,,,
35.15,,,,
35.167,,,,
35.183,,,,
35.2,,,,
35.217,,,,
35.233,,,,
35.25,,,,
35.267,,,,
35.283,,,,
35.3,,,,
35.317,,,,
35.333,-6.105,-0.04417,-0.01893,
35.35,,,,
35.367,,,,
35.383,,,,
35.4,,,,
35.417,,,,
35.433,,,,
35.45,,,,
35.467,,,,
35.483,,,,
35.5,,,,
35.517,,,,
35.533,,,,
35.55,,,,
35.567,,,,
35.583,,,,
35.6,,,,
35.617,,,,
35.633,,,,
35.65,,,,
35.667,,,,
35.683,,,,
35.7,,,,
35.717,,,,
35.733,,,,
35.75,,,,
35.767,,,,
35.783,,,,
35.8,,,,
35.817,,,,
35.833,,,,
35.85,,,,
35.867,,,,
35.883,,,,
35.9,,,,
35.917,,,,
35.933,,,,
35.95,,,,
35.967,,,,
35.983,,,,
36.0,-6.125,-0.05889,-0.02524,
36.017,,,,
36.033,,,,
36.05,,,,
36.067,,,,
36.083,,,,
36.1,,,,
36.117,,,,
36.133,,,,
36.15,,,,
36.167,,,,
36.183,,,,
36.2,,,,
36.217,,,,
36.233,,,,
36.25,,,,
36.267,,,,
36.283,,,,
36.3,,,,
36.317,,,,
36.333,,,,
36.35,,,,
36.367,,,,
36.383,,,,
36.4,,,,
36.417,,,,
36.433,,,,
36.45,,,,
36.467,,,,
36.483,,,,
36.5,,,,
36.517,,,,
36.533,,,,
36.55,,,,
36.567,,,,
36.583,,,,
36.6,,,,
36.617,,,,
36.633,,,,
36.65,,,,
36.667,-6.184,-0.08834,-0.02524,
36.683,,,,
36.7,,,,
36.717,,,,
36.733,,,,
36.75,,,,
36.767,,,,
36.783,,,,
36.8,,,,
36.817,,,,
36.833,,,,
36.85,,,,
36.867,,,,
36.883,,,,
36.9,,,,
36.917,,,,
36.933,,,,
36.95,,,,
36.967,,,,
36.983,,,,
37.0,,,,
37.017,,,,
37.033,,,,
37.05,,,,
37.067,,,,
37.083,,,,
37.1,,,,
37.117,,,,
37.133,,,,
37.15,,,,
37.167,,,,
37.183,,,,
37.2,,,,
37.217,,,,
37.233,,,,
37.25,,,,
37.267,,,,
37.283,,,,
37.3,,,,
37.317,,,,
37.333,-6.242,-0.08834,-0.02524,
37.35,,,,
37.367,,,,
37.383,,,,
37.4,,,,
37.417,,,,
37.433,,,,
37.45,,,,
37.467,,,,
37.483,,,,
37.5,,,,
37.517,,,,
37.533,,,,
37.55,,,,
37.567,,,,
37.583,,,,
37.6,,,,
37.617,,,,
37.633,,,,
37.65,,,,
37.667,,,,
37.683,,,,
37.7,,,,
37.717,,,,
37.733,,,,
37.75,,,,
37.767,,,,
37.783,,,,
37.8,,,,
37.817,,,,
37.833,,,,
37.85,,,,
37.867,,,,
37.883,,,,
37.9,,,,
37.917,,,,
37.933,,,,
37.95,,,,
37.967,,,,
37.983,,,,
38.0,-6.301,-0.118,-0.02524,
38.017,,,,
38.033,,,,
38.05,,,,
38.067,,,,
38.083,,,,
38.1,,,,
38.117,,,,
38.133,,,,
38.15,,,,
38.167,,,,
38.183,,,,
38.2,,,,
38.217,,,,
38.233,,,,
38.25,,,,
38.267,,,,
38.283,,,,
38.3,,,,
38.317,,,,
38.333,,,,
38.35,,,,
38.367,,,,
38.383,,,,
38.4,,,,
38.417,,,,
38.433,,,,
38.45,,,,
38.467,,,,
38.483,,,,
38.5,,,,
38.517,,,,
38.533,,,,
38.55,,,,
38.567,,,,
38.583,,,,
38.6,,,,
38.617,,,,
38.633,,,,
38.65,,,,
38.667,-6.399,-0.133,-0.03155,
38.683,,,,
38.7,,,,
38.717,,,,
38.733,,,,
38.75,,,,
38.767,,,,
38.783,,,,
38.8,,,,
38.817,,,,
38.833,,,,
38.85,,,,
38.867,,,,
38.883,,,,
38.9,,,,
38.917,,,,
38.933,,,,
38.95,,,,
38.967,,,,
38.983,,,,
39.0,,,,
39.017,,,,
39.033,,,,
39.05,,,,
39.067,,,,
39.083,,,,
39.1,,,,
39.117,,,,
39.133,,,,
39.15,,,,
39.167,,,,
39.183,,,,
39.2,,,,
39.217,,,,
39.233,,,,
39.25,,,,
39.267,,,,
39.283,,,,
39.3,,,,
39.317,,,,
39.333,-6.478,-0.147,0.0,
39.35,,,,
39.367,,,,
39.383,,,,
39.4,,,,
39.417,,,,
39.433,,,,
39.45,,,,
39.467,,,,
39.483,,,,
39.5,,,,
39.517,,,,
39.533,,,,
39.55,,,,
39.567,,,,
39.583,,,,
39.6,,,,
39.617,,,,
39.633,,,,
39.65,,,,
39.667,,,,
39.683,,,,
39.7,,,,
39.717,,,,
39.733,,,,
39.75,,,,
39.767,,,,
39.783,,,,
39.8,,,,
39.817,,,,
39.833,,,,
39.85,,,,
39.867,,,,
39.883,,,,
39.9,,,,
39.917,,,,
39.933,,,,
39.95,,,,
39.967,,,,
39.983,,,,
40.0,-6.596,-0.147,0.01262,
40.017,,,,
40.033,,,,
40.05,,,,
40.067,,,,
40.083,,,,
40.1,,,,
40.117,,,,
40.133,,,,
40.15,,,,
40.167,,,,
40.183,,,,
40.2,,,,
40.217,,,,
40.233,,,,
40.25,,,,
40.267,,,,
40.283,,,,
40.3,,,,
40.317,,,,
40.333,,,,
40.35,,,,
40.367,,,,
40.383,,,,
40.4,,,,
40.417,,,,
40.433,,,,
40.45,,,,
40.467,,,,
40.483,,,,
40.5,,,,
40.517,,,,
40.533,,,,
40.55,,,,
40.567,,,,
40.583,,,,
40.6,,,,
40.617,,,,
40.633,,,,
40.65,,,,
40.667,-6.674,-0.118,0.01262,
40.683,,,,
40.7,,,,
40.717,,,,
40.733,,,,
40.75,,,,
40.767,,,,
40.783,,,,
40.8,,,,
40.817,,,,
40.833,,,,
40.85,,,,
40.867,,,,
40.883,,,,
40.9,,,,
40.917,,,,
40.933,,,,
40.95,,,,
40.967,,,,
40.983,,,,
41.0,,,,
41.017,,,,
41.033,,,,
41.05,,,,
41.067,,,,
41.083,,,,
41.1,,,,
41.117,,,,
41.133,,,,
41.15,,,,
41.167,,,,
41.183,,,,
41.2,,,,
41.217,,,,
41.233,,,,
41.25,,,,
41.267,,,,
41.283,,,,
41.3,,,,
41.317,,,,
41.333,-6.753,-0.133,-0.00631,
41.35,,,,
41.367,,,,
41.383,,,,
41.4,,,,
41.417,,,,
41.433,,,,
41.45,,,,
41.467,,,,
41.483,,,,
41.5,,,,
41.517,,,,
41.533,,,,
41.55,,,,
41.567,,,,
41.583,,,,
41.6,,,,
41.617,,,,
41.633,,,,
41.65,,,,
41.667,,,,
41.683,,,,
41.7,,,,
41.717,,,,
41.733,,,,
41.75,,,,
41.767,,,,
41.783,,,,
41.8,,,,
41.817,,,,
41.833,,,,
41.85,,,,
41.867,,,,
41.883,,,,
41.9,,,,
41.917,,,,
41.933,,,,
41.95,,,,
41.967,,,,
41.983,,,,
42.0,-6.851,-0.133,0.00631,
42.017,,,,
42.033,,,,
42.05,,,,
42.067,,,,
42.083,,,,
42.1,,,,
42.117,,,,
42.133,,,,
42.15,,,,
42.167,,,,
42.183,,,,
42.2,,,,
42.217,,,,
42.233,,,,
42.25,,,,
42.267,,,,
42.283,,,,
42.3,,,,
42.317,,,,
42.333,,,,
42.35,,,,
42.367,,,,
42.383,,,,
42.4,,,,
42.417,,,,
42.433,,,,
42.45,,,,
42.467,,,,
42.483,,,,
42.5,,,,
42.517,,,,
42.533,,,,
42.55,,,,
42.567,,,,
42.583,,,,
42.6,,,,
42.617,,,,
42.633,,,,
42.65,,,,
42.667,-6.929,-0.118,0.02524,
42.683,,,,
42.7,,,,
42.717,,,,
42.733,,,,
42.75,,,,
42.767,,,,
42.783,,,,
42.8,,,,
42.817,,,,
42.833,,,,
42.85,,,,
42.867,,,,
42.883,,,,
42.9,,,,
42.917,,,,
42.933,,,,
42.95,,,,
42.967,,,,
42.983,,,,
43.0,,,,
43.017,,,,
43.033,,,,
43.05,,,,
43.067,,,,
43.083,,,,
43.1,,,,
43.117,,,,
43.133,,,,
43.15,,,,
43.167,,,,
43.183,,,,
43.2,,,,
43.217,,,,
43.233,,,,
43.25,,,,
43.267,,,,
43.283,,,,
43.3,,,,
43.317,,,,
43.333,-7.008,-0.103,0.00631,
43.35,,,,
43.367,,,,
43.383,,,,
43.4,,,,
43.417,,,,
43.433,,,,
43.45,,,,
43.467,,,,
43.483,,,,
43.5,,,,
43.517,,,,
43.533,,,,
43.55,,,,
43.567,,,,
43.583,,,,
43.6,,,,
43.617,,,,
43.633,,,,
43.65,,,,
43.667,,,,
43.683,,,,
43.7,,,,
43.717,,,,
43.733,,,,
43.75,,,,
43.767,,,,
43.783,,,,
43.8,,,,
43.817,,,,
43.833,,,,
43.85,,,,
43.867,,,,
43.883,,,,
43.9,,,,
43.917,,,,
43.933,,,,
43.95,,,,
43.967,,,,
43.983,,,,
44.0,-7.067,-0.103,-0.00631,
44.017,,,,
44.033,,,,
44.05,,,,
44.067,,,,
44.083,,,,
44.1,,,,
44.117,,,,
44.133,,,,
44.15,,,,
44.167,,,,
44.183,,,,
44.2,,,,
44.217,,,,
44.233,,,,
44.25,,,,
44.267,,,,
44.283,,,,
44.3,,,,
44.317,,,,
44.333,,,,
44.35,,,,
44.367,,,,
44.383,,,,
44.4,,,,
44.417,,,,
44.433,,,,
44.45,,,,
44.467,,,,
44.483,,,,
44.5,,,,
44.517,,,,
44.533,,,,
44.55,,,,
44.567,,,,
44.583,,,,
44.6,,,,
44.617,,,,
44.633,,,,
44.65,,,,
44.667,-7.145,-0.118,0.01262,
44.683,,,,
44.7,,,,
44.717,,,,
44.733,,,,
44.75,,,,
44.767,,,,
44.783,,,,
44.8,,,,
44.817,,,,
44.833,,,,
44.85,,,,
44.867,,,,
44.883,,,,
44.9,,,,
44.917,,,,
44.933,,,,
44.95,,,,
44.967,,,,
44.983,,,,
45.0,,,,
45.017,,,,
45.033,,,,
45.05,,,,
45.067,,,,
45.083,,,,
45.1,,,,
45.117,,,,
45.133,,,,
45.15,,,,
45.167,,,,
45.183,,,,
45.2,,,,
45.217,,,,
45.233,,,,
45.25,,,,
45.267,,,,
45.283,,,,
45.3,,,,
45.317,,,,
45.333,-7.224,-0.08834,0.01262,
45.35,,,,
45.367,,,,
45.383,,,,
45.4,,,,
45.417,,,,
45.433,,,,
45.45,,,,
45.467,,,,
45.483,,,,
45.5,,,,
45.517,,,,
45.533,,,,
45.55,,,,
45.567,,,,
45.583,,,,
45.6,,,,
45.617,,,,
45.633,,,,
45.65,,,,
45.667,,,,
45.683,,,,
45.7,,,,
45.717,,,,
45.733,,,,
45.75,,,,
45.767,,,,
45.783,,,,
45.8,,,,
45.817,,,,
45.833,,,,
45.85,,,,
45.867,,,,
45.883,,,,
45.9,,,,
45.917,,,,
45.933,,,,
45.95,,,,
45.967,,,,
45.983,,,,
46.0,-7.263,-0.08834,0.0,
46.017,,,,
46.033,,,,
46.05,,,,
46.067,,,,
46.083,,,,
46.1,,,,
46.117,,,,
46.133,,,,
46.15,,,,
46.167,,,,
46.183,,,,
46.2,,,,
46.217,,,,
46.233,,,,
46.25,,,,
46.267,,,,
46.283,,,,
46.3,,,,
46.317,,,,
46.333,,,,
46.35,,,,
46.367,,,,
46.383,,,,
46.4,,,,
46.417,,,,
46.433,,,,
46.45,,,,
46.467,,,,
46.483,,,,
46.5,,,,
46.517,,,,
46.533,,,,
46.55,,,,
46.567,,,,
46.583,,,,
46.6,,,,
46.617,,,,
46.633,,,,
46.65,,,,
46.667,-7.342,-0.103,0.00631,
46.683,,,,
46.7,,,,
46.717,,,,
46.733,,,,
46.75,,,,
46.767,,,,
46.783,,,,
46.8,,,,
46.817,,,,
46.833,,,,
46.85,,,,
46.867,,,,
46.883,,,,
46.9,,,,
46.917,,,,
46.933,,,,
46.95,,,,
46.967,,,,
46.983,,,,
47.0,,,,
47.017,,,,
47.033,,,,
47.05,,,,
47.067,,,,
47.083,,,,
47.1,,,,
47.117,,,,
47.133,,,,
47.15,,,,
47.167,,,,
47.183,,,,
47.2,,,,
47.217,,,,
47.233,,,,
47.25,,,,
47.267,,,,
47.283,,,,
47.3,,,,
47.317,,,,
47.333,-7.401,-0.07361,0.04417,
47.35,,,,
47.367,,,,
47.383,,,,
47.4,,,,
47.417,,,,
47.433,,,,
47.45,,,,
47.467,,,,
47.483,,,,
47.5,,,,
47.517,,,,
47.533,,,,
47.55,,,,
47.567,,,,
47.583,,,,
47.6,,,,
47.617,,,,
47.633,,,,
47.65,,,,
47.667,,,,
47.683,,,,
47.7,,,,
47.717,,,,
47.733,,,,
47.75,,,,
47.767,,,,
47.783,,,,
47.8,,,,
47.817,,,,
47.833,,,,
47.85,,,,
47.867,,,,
47.883,,,,
47.9,,,,
47.917,,,,
47.933,,,,
47.95,,,,
47.967,,,,
47.983,,,,
48.0,-7.44,-0.04417,0.03155,
48.017,,,,
48.033,,,,
48.05,,,,
48.067,,,,
48.083,,,,
48.1,,,,
48.117,,,,
48.133,,,,
48.15,,,,
48.167,,,,
48.183,,,,
48.2,,,,
48.217,,,,
48.233,,,,
48.25,,,,
48.267,,,,
48.283,,,,
48.3,,,,
48.317,,,,
48.333,,,,
48.35,,,,
48.367,,,,
48.383,,,,
48.4,,,,
48.417,,,,
48.433,,,,
48.45,,,,
48.467,,,,
48.483,,,,
48.5,,,,
48.517,,,,
48.533,,,,
48.55,,,,
48.567,,,,
48.583,,,,
48.6,,,,
48.617,,,,
48.633,,,,
48.65,,,,
48.667,-7.459,-0.02945,0.0,
48.683,,,,
48.7,,,,
48.717,,,,
48.733,,,,
48.75,,,,
48.767,,,,
48.783,,,,
48.8,,,,
48.817,,,,
48.833,,,,
48.85,,,,
48.867,,,,
48.883,,,,
48.9,,,,
48.917,,,,
48.933,,,,
48.95,,,,
48.967,,,,
48.983,,,,
49.0,,,,
49.017,,,,
49.033,,,,
49.05,,,,
49.067,,,,
49.083,,,,
49.1,,,,
49.117,,,,
49.133,,,,
49.15,,,,
49.167,,,,
49.183,,,,
49.2,,,,
49.217,,,,
49.233,,,,
49.25,,,,
49.267,,,,
49.283,,,,
49.3,,,,
49.317,,,,
49.333,-7.479,-0.04417,0.01893,
49.35,,,,
49.367,,,,
49.383,,,,
49.4,,,,
49.417,,,,
49.433,,,,
49.45,,,,
49.467,,,,
49.483,,,,
49.5,,,,
49.517,,,,
49.533,,,,
49.55,,,,
49.567,,,,
49.583,,,,
49.6,,,,
49.617,,,,
49.633,,,,
49.65,,,,
49.667,,,,
49.683,,,,
49.7,,,,
49.717,,,,
49.733,,,,
49.75,,,,
49.767,,,,
49.783,,,,
49.8,,,,
49.817,,,,
49.833,,,,
49.85,,,,
49.867,,,,
49.883,,,,
49.9,,,,
49.917,,,,
49.933,,,,
49.95,,,,
49.967,,,,
49.983,,,,
50.0,-7.518,-0.01472,0.01893,
50.017,,,,
50.033,,,,
50.05,,,,
50.067,,,,
50.083,,,,
50.1,,,,
50.117,,,,
50.133,,,,
50.15,,,,
50.167,,,,
50.183,,,,
50.2,,,,
50.217,,,,
50.233,,,,
50.25,,,,
50.267,,,,
50.283,,,,
50.3,,,,
50.317,,,,
50.333,,,,
50.35,,,,
50.367,,,,
50.383,,,,
50.4,,,,
50.417,,,,
50.433,,,,
50.45,,,,
50.467,,,,
50.483,,,,
50.5,,,,
50.517,,,,
50.533,,,,
50.55,,,,
50.567,,,,
50.583,,,,
50.6,,,,
50.617,,,,
50.633,,,,
50.65,,,,
50.667,-7.499,0.0,0.01262,
50.683,,,,
50.7,,,,
50.717,,,,
50.733,,,,
50.75,,,,
50.767,,,,
50.783,,,,
50.8,,,,
50.817,,,,
50.833,,,,
50.85,,,,
50.867,,,,
50.883,,,,
50.9,,,,
50.917,,,,
50.933,,,,
50.95,,,,
50.967,,,,
50.983,,,,
51.0,,,,
51.017,,,,
51.033,,,,
51.05,,,,
51.067,,,,
51.083,,,,
51.1,,,,
51.117,,,,
51.133,,,,
51.15,,,,
51.167,,,,
51.183,,,,
51.2,,,,
51.217,,,,
51.233,,,,
51.25,,,,
51.267,,,,
51.283,,,,
51.3,,,,
51.317,,,,
51.333,-7.518,-0.01472,-0.03155,
51.35,,,,
51.367,,,,
51.383,,,,
51.4,,,,
51.417,,,,
51.433,,,,
51.45,,,,
51.467,,,,
51.483,,,,
51.5,,,,
51.517,,,,
51.533,,,,
51.55,,,,
51.567,,,,
51.583,,,,
51.6,,,,
51.617,,,,
51.633,,,,
51.65,,,,
51.667,,,,
51.683,,,,
51.7,,,,
51.717,,,,
51.733,,,,
51.75,,,,
51.767,,,,
51.783,,,,
51.8,,,,
51.817,,,,
51.833,,,,
51.85,,,,
51.867,,,,
51.883,,,,
51.9,,,,
51.917,,,,
51.933,,,,
51.95,,,,
51.967,,,,
51.983,,,,
52.0,-7.518,-0.02945,0.0,
52.017,,,,
52.033,,,,
52.05,,,,
52.067,,,,
52.083,,,,
52.1,,,,
52.117,,,,
52.133,,,,
52.15,,,,
52.167,,,,
52.183,,,,
52.2,,,,
52.217,,,,
52.233,,,,
52.25,,,,
52.267,,,,
52.283,,,,
52.3,,,,
52.317,,,,
52.333,,,,
52.35,,,,
52.367,,,,
52.383,,,,
52.4,,,,
52.417,,,,
52.433,,,,
52.45,,,,
52.467,,,,
52.483,,,,
52.5,,,,
52.517,,,,
52.533,,,,
52.55,,,,
52.567,,,,
52.583,,,,
52.6,,,,
52.617,,,,
52.633,,,,
52.65,,,,
52.667,-7.558,-0.02945,0.0,
52.683,,,,
52.7,,,,
52.717,,,,
52.733,,,,
52.75,,,,
52.767,,,,
52.783,,,,
52.8,,,,
52.817,,,,
52.833,,,,
52.85,,,,
52.867,,,,
52.883,,,,
52.9,,,,
52.917,,,,
52.933,,,,
52.95,,,,
52.967,,,,
52.983,,,,
53.0,,,,
53.017,,,,
53.033,,,,
53.05,,,,
53.067,,,,
53.083,,,,
53.1,,,,
53.117,,,,
53.133,,,,
53.15,,,,
53.167,,,,
53.183,,,,
53.2,,,,
53.217,,,,
53.233,,,,
53.25,,,,
53.267,,,,
53.283,,,,
53.3,,,,
53.317,,,,
53.333,-7.558,-0.01472,0.01893,
53.35,,,,
53.367,,,,
53.383,,,,
53.4,,,,
53.417,,,,
53.433,,,,
53.45,,,,
53.467,,,,
53.483,,,,
53.5,,,,
53.517,,,,
53.533,,,,
53.55,,,,
53.567,,,,
53.583,,,,
53.6,,,,
53.617,,,,
53.633,,,,
53.65,,,,
53.667,,,,
53.683,,,,
53.7,,,,
53.717,,,,
53.733,,,,
53.75,,,,
53.767,,,,
53.783,,,,
53.8,,,,
53.817,,,,
53.833,,,,
53.85,,,,
53.867,,,,
53.883,,,,
53.9,,,,
53.917,,,,
53.933,,,,
53.95,,,,
53.967,,,,
53.983,,,,
54.0,-7.577,-0.01472,0.00631,
54.017,,,,
54.033,,,,
54.05,,,,
54.067,,,,
54.083,,,,
54.1,,,,
54.117,,,,
54.133,,,,
54.15,,,,
54.167,,,,
54.183,,,,
54.2,,,,
54.217,,,,
54.233,,,,
54.25,,,,
54.267,,,,
54.283,,,,
54.3,,,,
54.317,,,,
54.333,,,,
54.35,,,,
54.367,,,,
54.383,,,,
54.4,,,,
54.417,,,,
54.433,,,,
54.45,,,,
54.467,,,,
54.483,,,,
54.5,,,,
54.517,,,,
54.533,,,,
54.55,,,,
54.567,,,,
54.583,,,,
54.6,,,,
54.617,,,,
54.633,,,,
54.65,,,,
54.667,-7.577,0.0,0.01262,
54.683,,,,
54.7,,,,
54.717,,,,
54.733,,,,
54.75,,,,
54.767,,,,
54.783,,,,
54.8,,,,
54.817,,,,
54.833,,,,
54.85,,,,
54.867,,,,
54.883,,,,
54.9,,,,
54.917,,,,
54.933,,,,
54.95,,,,
54.967,,,,
54.983,,,,
55.0,,,,
55.017,,,,
55.033,,,,
55.05,,,,
55.067,,,,
55.083,,,,
55.1,,,,
55.117,,,,
55.133,,,,
55.15,,,,
55.167,,,,
55.183,,,,
55.2,,,,
55.217,,,,
55.233,,,,
55.25,,,,
55.267,,,,
55.283,,,,
55.3,,,,
55.317,,,,
55.333,-7.577,0.0,0.0,
55.35,,,,
55.367,,,,
55.383,,,,
55.4,,,,
55.417,,,,
55.433,,,,
55.45,,,,
55.467,,,,
55.483,,,,
55.5,,,,
55.517,,,,
55.533,,,,
55.55,,,,
55.567,,,,
55.583,,,,
55.6,,,,
55.617,,,,
55.633,,,,
55.65,,,,
55.667,,,,
55.683,,,,
55.7,,,,
55.717,,,,
55.733,,,,
55.75,,,,
55.767,,,,
55.783,,,,
55.8,,,,
55.817,,,,
55.833,,,,
55.85,,,,
55.867,,,,
55.883,,,,
55.9,,,,
55.917,,,,
55.933,,,,
55.95,,,,
55.967,,,,
55.983,,,,
